got, 0.035880, 0.024962
posit, 0.001220, 0.001664
until, 0.012448, 0.001815
yall, 0.004271, 0.007564
tsa, 0.003417, 0.002118
sound, 0.001953, 0.001664
also, 0.011472, 0.005749
bird, 0.000000, 0.001815
last, 0.027703, 0.011649
goe, 0.002075, 0.002118
websit, 0.016353, 0.003480
submit, 0.003173, 0.001664
tri, 0.057847, 0.015129
storm, 0.003295, 0.001967
may, 0.004760, 0.004236
were, 0.033317, 0.014523
usair, 0.004638, 0.001815
man, 0.001831, 0.001815
afternoon, 0.001831, 0.002118
huge, 0.002441, 0.002874
someon, 0.023310, 0.006354
post, 0.003173, 0.001967
run, 0.006346, 0.004387
might, 0.006224, 0.003328
visit, 0.000000, 0.002421
connect, 0.030022, 0.009834
fortunemagazin, 0.000000, 0.001815
area, 0.002197, 0.001815
imagin, 0.000000, 0.002421
year, 0.009519, 0.010136
expect, 0.007567, 0.003933
becaus, 0.035270, 0.003631
rock, 0.000000, 0.006354
yeah, 0.004149, 0.001513
situat, 0.003417, 0.001815
earli, 0.007933, 0.004236
found, 0.006712, 0.003782
chicago, 0.005126, 0.005900
finger, 0.000000, 0.002269
stuck, 0.019282, 0.001815
bring, 0.003051, 0.005446
top, 0.002929, 0.001815
too, 0.019526, 0.011800
correct, 0.003905, 0.003177
worri, 0.002441, 0.005144
super, 0.002075, 0.003026
wouldnt, 0.005370, 0.001513
tweet, 0.008421, 0.007564
frustrat, 0.015499, 0.002118
market, 0.000000, 0.001967
yr, 0.003173, 0.001513
quick, 0.002075, 0.007564
suggest, 0.003417, 0.001967
wifi, 0.011472, 0.004387
went, 0.005736, 0.003177
wife, 0.008055, 0.003026
okay, 0.002197, 0.003026
left, 0.014279, 0.008926
minut, 0.038077, 0.004992
hope, 0.017330, 0.014977
gave, 0.006590, 0.002572
end, 0.005980, 0.003480
trip, 0.017452, 0.013011
prioriti, 0.003173, 0.001513
via, 0.006956, 0.007867
land, 0.014767, 0.008472
put, 0.014889, 0.004387
special, 0.001220, 0.002118
hook, 0.000000, 0.001513
passeng, 0.020503, 0.008321
flew, 0.003173, 0.002723
didnt, 0.020381, 0.006051
deserv, 0.000000, 0.002874
nyc, 0.005370, 0.003328
parti, 0.000000, 0.002269
miss, 0.043080, 0.007413
we, 0.092629, 0.042360
listen, 0.002197, 0.001967
video, 0.001587, 0.001815
well, 0.014279, 0.013918
passbook, 0.000000, 0.003480
servic, 0.091897, 0.034342
music, 0.000000, 0.001513
definit, 0.001220, 0.002572
theyr, 0.004271, 0.001815
best, 0.007567, 0.018759
depart, 0.007200, 0.004690
program, 0.002197, 0.001815
shes, 0.001831, 0.002874
gate, 0.051623, 0.016944
row, 0.006590, 0.002118
total, 0.005004, 0.001815
talk, 0.013180, 0.003328
media, 0.002563, 0.002421
atl, 0.002441, 0.002572
speak, 0.012204, 0.002269
ice, 0.002075, 0.002118
reflight, 0.004393, 0.002421
home, 0.023432, 0.015280
guess, 0.005980, 0.002118
husband, 0.002929, 0.001513
us, 0.059556, 0.031014
up, 0.067488, 0.025719
ur, 0.007567, 0.001967
tonight, 0.010495, 0.010893
ua, 0.020259, 0.008775
uk, 0.001220, 0.001664
carrieunderwood, 0.000000, 0.001967
nashvill, 0.001709, 0.003933
enjoy, 0.001587, 0.003328
board, 0.030876, 0.014070
second, 0.004271, 0.003933
ask, 0.014767, 0.006051
corpor, 0.001464, 0.001513
over, 0.041982, 0.007564
mileag, 0.002319, 0.001664
baggag, 0.022577, 0.005900
take, 0.032585, 0.015582
cross, 0.002075, 0.003026
tv, 0.003783, 0.001513
entertain, 0.002563, 0.001664
condit, 0.001220, 0.001513
impress, 0.001464, 0.003026
checkin, 0.005248, 0.002572
alway, 0.006956, 0.007716
hold, 0.077740, 0.005295
info, 0.012204, 0.006354
locat, 0.004393, 0.001967
announc, 0.004027, 0.002723
tix, 0.002441, 0.001967
cost, 0.006956, 0.002874
pictur, 0.000000, 0.001513
warm, 0.000000, 0.002723
to, 0.726507, 0.390772
figur, 0.004882, 0.002269
th, 0.004760, 0.006505
miami, 0.004393, 0.002269
leav, 0.018062, 0.007564
world, 0.002319, 0.004387
get, 0.143276, 0.063691
think, 0.013669, 0.009380
are, 0.091652, 0.050378
iah, 0.004271, 0.001967
deal, 0.006102, 0.006657
thing, 0.010251, 0.006657
sw, 0.003295, 0.003026
iad, 0.004149, 0.003480
team, 0.007200, 0.007110
st, 0.008787, 0.007262
thx, 0.005126, 0.009380
ipad, 0.000000, 0.001664
address, 0.004149, 0.003026
so, 0.065658, 0.051891
sort, 0.002075, 0.001513
rebook, 0.028069, 0.005598
least, 0.008787, 0.002118
the, 0.493654, 0.291679
ladygaga, 0.000000, 0.001815
newark, 0.003295, 0.004841
rt, 0.003173, 0.009985
selfi, 0.000000, 0.001513
clt, 0.007567, 0.004236
australia, 0.000000, 0.001513
carri, 0.003661, 0.003782
app, 0.009275, 0.005446
mint, 0.000000, 0.002118
airway, 0.005248, 0.006808
full, 0.008909, 0.001967
either, 0.003661, 0.001815
happi, 0.006468, 0.006203
offic, 0.002685, 0.001513
kudo, 0.000000, 0.003933
april, 0.000000, 0.001664
luggag, 0.029290, 0.002874
mine, 0.002197, 0.001815
mind, 0.001587, 0.001967
number, 0.020259, 0.013162
promo, 0.000000, 0.001967
summer, 0.000000, 0.001513
flightlat, 0.006468, 0.003177
frequent, 0.001831, 0.001513
possibl, 0.005248, 0.005749
welcom, 0.000000, 0.002572
want, 0.029534, 0.013464
such, 0.004760, 0.002572
provid, 0.006956, 0.004841
appli, 0.001587, 0.002572
pm, 0.016842, 0.004841
these, 0.004638, 0.004085
cool, 0.003905, 0.004690
soon, 0.003539, 0.005598
ani, 0.028557, 0.029803
and, 0.338296, 0.134644
week, 0.016231, 0.009077
southwest, 0.004760, 0.008321
mile, 0.014035, 0.007564
imaginedragon, 0.000000, 0.006959
atlanta, 0.000000, 0.004085
luv, 0.001464, 0.003631
or, 0.040639, 0.022239
game, 0.000000, 0.001513
on, 0.332560, 0.151891
earlier, 0.006102, 0.006203
ride, 0.001587, 0.002118
ok, 0.005370, 0.008472
space, 0.003173, 0.001513
there, 0.051013, 0.032980
oh, 0.005492, 0.005598
amp, 0.057359, 0.024660
of, 0.183427, 0.088502
system, 0.018062, 0.001815
conf, 0.001709, 0.001664
march, 0.000000, 0.002874
pls, 0.005492, 0.002572
song, 0.000000, 0.001664
destin, 0.005980, 0.003328
delta, 0.006224, 0.003480
no, 0.155968, 0.027534
rate, 0.002197, 0.001664
nonstop, 0.001587, 0.002118
enough, 0.006956, 0.002269
wall, 0.000000, 0.004085
offer, 0.011228, 0.006959
doesnt, 0.018672, 0.003782
ladi, 0.001587, 0.002269
treat, 0.007933, 0.001815
nd, 0.005248, 0.001664
all, 0.052722, 0.026021
come, 0.015255, 0.009985
now, 0.098487, 0.030106
some, 0.015011, 0.010741
point, 0.010984, 0.005900
not, 0.160117, 0.035401
base, 0.000000, 0.001664
my, 0.288016, 0.131619
friday, 0.001953, 0.002269
issu, 0.029046, 0.007564
process, 0.005004, 0.002118
flight, 0.429949, 0.184871
southwestair, 0.005980, 0.008472
noth, 0.016964, 0.002118
note, 0.003051, 0.001664
me, 0.161582, 0.085023
though, 0.006468, 0.005749
togeth, 0.005736, 0.003026
cold, 0.001953, 0.002723
peopl, 0.029046, 0.007262
lt, 0.000000, 0.002572
thru, 0.004515, 0.002723
rep, 0.012814, 0.002874
la, 0.002441, 0.003480
dragon, 0.000000, 0.003631
mayb, 0.006468, 0.003328
wait, 0.080547, 0.012405
form, 0.004638, 0.001513
premier, 0.001953, 0.001513
ceo, 0.001220, 0.005144
air, 0.011228, 0.007262
rdu, 0.002075, 0.001967
great, 0.009763, 0.037519
phx, 0.004638, 0.002421
airport, 0.031364, 0.015734
probabl, 0.002929, 0.001967
onli, 0.030144, 0.012708
couldnt, 0.011106, 0.001815
phl, 0.009275, 0.005144
first, 0.019282, 0.015582
includ, 0.001587, 0.002421
jetblu, 0.019038, 0.038729
weekend, 0.001831, 0.003026
still, 0.058091, 0.013767
perfect, 0.000000, 0.001513
status, 0.008177, 0.005900
travel, 0.026483, 0.022995
lot, 0.007689, 0.004085
it, 0.207713, 0.117398
is, 0.254332, 0.108018
im, 0.065536, 0.032678
in, 0.210276, 0.117852
loung, 0.001587, 0.003026
lol, 0.002441, 0.004992
current, 0.004149, 0.004690
wasnt, 0.009397, 0.002572
photo, 0.000000, 0.002269
ago, 0.011960, 0.004387
if, 0.048450, 0.032829
id, 0.008055, 0.006354
while, 0.008421, 0.003177
oper, 0.004027, 0.002269
hr, 0.013302, 0.001513
turn, 0.005248, 0.001513
citi, 0.005492, 0.002118
dure, 0.004271, 0.003631
been, 0.092873, 0.014372
isnt, 0.010862, 0.002118
about, 0.044423, 0.020424
hi, 0.002929, 0.010439
open, 0.007933, 0.007262
food, 0.006956, 0.002118
site, 0.008543, 0.003782
hawaii, 0.000000, 0.001967
pretti, 0.003539, 0.002118
he, 0.011350, 0.007564
blue, 0.002807, 0.003177
month, 0.006468, 0.004992
understand, 0.011472, 0.003480
catch, 0.002197, 0.001967
gt, 0.003661, 0.001815
around, 0.005858, 0.002118
go, 0.053698, 0.026929
car, 0.006590, 0.002269
denver, 0.005858, 0.004690
incred, 0.001831, 0.001815
becom, 0.000000, 0.001815
can, 0.076641, 0.072617
social, 0.001464, 0.002572
question, 0.005004, 0.006505
compani, 0.008665, 0.002723
pdx, 0.000000, 0.001815
virgin, 0.001220, 0.002421
class, 0.008177, 0.008775
youv, 0.005614, 0.001815
your, 0.176837, 0.067474
their, 0.019160, 0.007262
discount, 0.000000, 0.002572
despit, 0.002075, 0.002421
where, 0.016964, 0.006959
fl, 0.002075, 0.001967
problem, 0.027947, 0.010741
easi, 0.002197, 0.003026
you, 0.303759, 0.237519
apolog, 0.008665, 0.002118
add, 0.005004, 0.006959
pilot, 0.011594, 0.006657
ever, 0.024164, 0.006657
here, 0.026483, 0.010439
even, 0.030510, 0.009531
wsj, 0.000000, 0.001664
folk, 0.002319, 0.001815
origin, 0.004515, 0.002421
wonder, 0.003051, 0.006354
earn, 0.001953, 0.001513
destinationdragon, 0.001464, 0.010439
birthday, 0.001831, 0.002572
code, 0.001953, 0.002118
believ, 0.005370, 0.002269
loyal, 0.004760, 0.001967
job, 0.004760, 0.007262
abov, 0.000000, 0.001815
answer, 0.020747, 0.002572
night, 0.014157, 0.005900
do, 0.074201, 0.057035
deliv, 0.005126, 0.002118
dm, 0.011594, 0.022239
plane, 0.070661, 0.019818
cancel, 0.110203, 0.020726
august, 0.000000, 0.001513
updat, 0.016109, 0.007262
pay, 0.018672, 0.004841
hrs, 0.035636, 0.001513
abl, 0.008543, 0.007262
away, 0.005248, 0.004085
dc, 0.004027, 0.003933
rais, 0.000000, 0.001815
read, 0.002929, 0.002723
new, 0.016353, 0.019365
american, 0.005248, 0.004992
contact, 0.010618, 0.004992
americanair, 0.006590, 0.006051
tomorrow, 0.020991, 0.019667
outstand, 0.000000, 0.001815
through, 0.018550, 0.009228
this, 0.121064, 0.057640
differ, 0.010984, 0.003631
high, 0.003173, 0.002874
thank, 0.046986, 0.193343
other, 0.021357, 0.008472
phone, 0.046986, 0.009077
after, 0.046619, 0.012405
fun, 0.002441, 0.002118
by, 0.034904, 0.015129
almost, 0.010251, 0.001664
serious, 0.010495, 0.001815
sunday, 0.003417, 0.002572
philli, 0.004882, 0.002269
kind, 0.003173, 0.002421
famili, 0.007200, 0.004539
sinc, 0.018306, 0.003782
be, 0.120332, 0.060666
realli, 0.027581, 0.010136
bc, 0.010251, 0.001664
wow, 0.003173, 0.002421
handl, 0.006590, 0.002572
longer, 0.006346, 0.001513
at, 0.131560, 0.058245
as, 0.040639, 0.022844
an, 0.094337, 0.030711
am, 0.047230, 0.023601
how, 0.055895, 0.026929
hot, 0.000000, 0.001513
have, 0.154259, 0.071104
use, 0.021601, 0.016641
charlott, 0.005370, 0.002874
down, 0.010862, 0.006051
ad, 0.003173, 0.003177
usa, 0.000000, 0.001664
lga, 0.004271, 0.002269
mani, 0.008421, 0.005446
aa, 0.023188, 0.013162
forward, 0.001953, 0.005144
swa, 0.003417, 0.003631
intern, 0.004027, 0.004992
daili, 0.000000, 0.002118
pleas, 0.038931, 0.035552
snack, 0.000000, 0.001967
help, 0.086893, 0.047655
which, 0.010251, 0.002723
hotel, 0.016598, 0.002421
columbus, 0.000000, 0.001664
start, 0.008543, 0.008321
love, 0.009275, 0.031619
iphon, 0.000000, 0.001815
refund, 0.017330, 0.005446
let, 0.023798, 0.010741
termin, 0.004882, 0.003480
ground, 0.008665, 0.002874
they, 0.064804, 0.022390
pick, 0.007200, 0.003328
leg, 0.004638, 0.002269
congrat, 0.000000, 0.001513
then, 0.032341, 0.008926
them, 0.022944, 0.009228
direct, 0.008421, 0.006203
record, 0.003661, 0.002269
short, 0.002441, 0.002118
past, 0.007567, 0.001815
pass, 0.008543, 0.008623
due, 0.025751, 0.004387
idea, 0.004760, 0.003480
extra, 0.009885, 0.002421
littl, 0.005492, 0.003480
back, 0.045277, 0.022844
ticket, 0.029534, 0.022390
make, 0.038809, 0.024054
dfwairport, 0.000000, 0.001513
part, 0.003051, 0.002118
receipt, 0.001953, 0.001513
remind, 0.000000, 0.001664
member, 0.007933, 0.003631
avail, 0.011960, 0.005144
clear, 0.003905, 0.002269
lost, 0.025995, 0.003631
hard, 0.005370, 0.002269
better, 0.015621, 0.007413
anyth, 0.011472, 0.005598
flightr, 0.017574, 0.001664
friend, 0.008543, 0.008169
thankyou, 0.000000, 0.001815
for, 0.326702, 0.192587
babi, 0.002563, 0.001513
flightl, 0.055284, 0.009380
sorri, 0.008909, 0.004085
claim, 0.011350, 0.002874
mean, 0.008299, 0.004085
next, 0.016842, 0.013616
delay, 0.107274, 0.013313
bwi, 0.002929, 0.002572
attend, 0.012448, 0.007867
jfk, 0.014645, 0.008321
yet, 0.014889, 0.004236
yes, 0.017208, 0.014523
jet, 0.003783, 0.003177
flyingitforward, 0.000000, 0.001815
stop, 0.010618, 0.003026
lax, 0.008665, 0.006959
win, 0.000000, 0.003480
glad, 0.003417, 0.004085
las, 0.002807, 0.003328
news, 0.001220, 0.002874
sign, 0.003173, 0.001967
asap, 0.003173, 0.001967
support, 0.003539, 0.002269
would, 0.043935, 0.027534
touch, 0.001220, 0.001967
that, 0.155602, 0.065658
suppos, 0.010984, 0.002421
awesom, 0.002075, 0.015885
his, 0.006224, 0.004539
than, 0.024408, 0.006354
assist, 0.006956, 0.003631
winter, 0.001464, 0.003328
him, 0.005370, 0.003177
but, 0.114596, 0.041150
repli, 0.005370, 0.006354
who, 0.016964, 0.010893
buy, 0.004515, 0.002572
price, 0.006102, 0.002874
find, 0.016353, 0.005295
whi, 0.061997, 0.011800
avgeek, 0.000000, 0.003177
just, 0.073835, 0.053101
sent, 0.011716, 0.013464
respons, 0.018306, 0.011195
busi, 0.016109, 0.004992
flt, 0.014157, 0.005446
respond, 0.007933, 0.003026
send, 0.009641, 0.007716
fll, 0.004027, 0.003026
btw, 0.001220, 0.002269
fli, 0.049182, 0.042663
luck, 0.002685, 0.002118
moment, 0.000000, 0.001513
money, 0.009885, 0.001967
save, 0.001709, 0.003328
option, 0.011716, 0.003782
place, 0.005858, 0.002118
son, 0.001587, 0.002269
yesterday, 0.010251, 0.003328
among, 0.000000, 0.001513
resolv, 0.004393, 0.002118
upgrad, 0.009885, 0.009077
smooth, 0.000000, 0.001815
took, 0.008299, 0.003480
caus, 0.007933, 0.002118
look, 0.018306, 0.020121
plus, 0.004882, 0.002874
inflight, 0.002441, 0.002874
fill, 0.003173, 0.001513
own, 0.005614, 0.001664
access, 0.002685, 0.002874
unit, 0.033805, 0.014826
fleet, 0.004027, 0.017852
under, 0.002929, 0.002723
dont, 0.050037, 0.013011
doe, 0.014889, 0.009228
fleek, 0.003783, 0.018154
anyon, 0.011960, 0.002118
bought, 0.003783, 0.001967
taken, 0.003295, 0.002421
alreadi, 0.015621, 0.007564
austin, 0.001587, 0.003328
done, 0.008909, 0.008472
long, 0.015987, 0.007413
phoenix, 0.001831, 0.001664
should, 0.029168, 0.010741
round, 0.002075, 0.001815
seattl, 0.000000, 0.001815
account, 0.007567, 0.003782
wed, 0.002563, 0.002118
tuesday, 0.003051, 0.001815
when, 0.056993, 0.026324
hey, 0.005248, 0.003933
advisori, 0.000000, 0.002572
hes, 0.001709, 0.001815
her, 0.014889, 0.010439
fix, 0.013669, 0.003026
out, 0.058335, 0.033283
beach, 0.000000, 0.001513
our, 0.053332, 0.037973
beauti, 0.000000, 0.003026
made, 0.015499, 0.011952
complet, 0.007567, 0.001513
trueblu, 0.000000, 0.001513
case, 0.004271, 0.001967
group, 0.004149, 0.002421
dmd, 0.000000, 0.001664
veri, 0.021235, 0.012708
each, 0.004882, 0.001513
profession, 0.000000, 0.001815
accept, 0.005004, 0.002118
domest, 0.001220, 0.002118
told, 0.029290, 0.003480
sky, 0.001464, 0.001513
care, 0.014523, 0.006354
card, 0.006468, 0.005295
houston, 0.005370, 0.001967
standbi, 0.004027, 0.002421
confirm, 0.010495, 0.008775
reason, 0.008909, 0.003026
hear, 0.004515, 0.004841
today, 0.032097, 0.023601
concern, 0.003783, 0.001815
head, 0.004027, 0.003480
bos, 0.005492, 0.004085
reschedul, 0.008055, 0.001664
custom, 0.092629, 0.025113
return, 0.008055, 0.004539
heard, 0.005248, 0.001967
email, 0.023920, 0.012859
work, 0.033195, 0.019970
way, 0.026361, 0.021483
agent, 0.042348, 0.010136
saturday, 0.001464, 0.002118
word, 0.004149, 0.002118
journal, 0.000000, 0.002421
usairway, 0.286307, 0.101664
was, 0.145716, 0.060212
what, 0.070295, 0.034796
ord, 0.007811, 0.003933
sweet, 0.000000, 0.001967
sit, 0.029778, 0.003933
staff, 0.016109, 0.007564
drive, 0.005004, 0.002269
live, 0.004393, 0.003026
smile, 0.000000, 0.001664
has, 0.046009, 0.014070
haha, 0.000000, 0.003480
few, 0.003051, 0.005446
must, 0.002685, 0.001967
had, 0.048938, 0.015431
middl, 0.002929, 0.001664
fee, 0.009641, 0.005295
feb, 0.002685, 0.002269
battl, 0.000000, 0.002572
weather, 0.026605, 0.012405
monday, 0.003661, 0.003177
did, 0.027581, 0.015129
vacat, 0.007567, 0.002572
readi, 0.002441, 0.003026
view, 0.000000, 0.003026
cant, 0.058213, 0.014221
she, 0.016598, 0.011195
notic, 0.002685, 0.001664
futur, 0.002807, 0.002572
voucher, 0.011960, 0.004387
child, 0.001464, 0.002421
runway, 0.006590, 0.001513
anyway, 0.002075, 0.001664
keep, 0.015621, 0.008926
appeas, 0.000000, 0.002118
seen, 0.002929, 0.001664
good, 0.017696, 0.023298
seem, 0.010251, 0.002572
actual, 0.009397, 0.003933
excit, 0.000000, 0.003328
club, 0.003173, 0.003328
list, 0.003295, 0.002269
wont, 0.019893, 0.002572
same, 0.014279, 0.006203
sfo, 0.006956, 0.006203
fantast, 0.000000, 0.002874
final, 0.010984, 0.008623
secur, 0.002563, 0.001513
from, 0.089578, 0.068381
without, 0.011350, 0.001815
twitter, 0.004882, 0.005598
dfw, 0.011106, 0.008018
call, 0.082988, 0.012557
rout, 0.002807, 0.004992
follow, 0.006834, 0.021331
one, 0.053332, 0.020272
nice, 0.008421, 0.010136
onc, 0.005980, 0.003026
know, 0.027093, 0.024811
set, 0.002441, 0.003026
snow, 0.004515, 0.007262
havent, 0.010373, 0.001967
fast, 0.000000, 0.001815
amaz, 0.001831, 0.013313
switch, 0.006102, 0.002118
see, 0.016475, 0.020877
befor, 0.018794, 0.007564
award, 0.003173, 0.003782
far, 0.005980, 0.003933
fan, 0.000000, 0.003026
commerci, 0.000000, 0.001967
bit, 0.002075, 0.001664
omg, 0.000000, 0.001967
den, 0.003051, 0.002572
both, 0.005736, 0.003631
messag, 0.008055, 0.003480
detail, 0.003051, 0.002421
winner, 0.000000, 0.001815
